"filename", "language", "TypeScript React", "JSON", "Go Checksum File", "HTML", "XML", "TypeScript", "comment", "blank", "total"
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/go.sum", "Go Checksum File", 0, 0, 191, 0, 0, 0, 0, 1, 192
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/go.sum", "Go Checksum File", 0, 0, 17, 0, 0, 0, 0, 1, 18
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/go.sum", "Go Checksum File", 0, 0, 191, 0, 0, 0, 0, 1, 192
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/go.sum", "Go Checksum File", 0, 0, 193, 0, 0, 0, 0, 1, 194
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/clover.xml", "XML", 0, 0, 0, 0, 2228, 0, 0, 0, 2228
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/coverage-final.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 36
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/index.html", "HTML", 0, 0, 0, 168, 0, 0, 0, 12, 180
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/JobForm.tsx.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 24
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/User.tsx.html", "HTML", 0, 0, 0, -9, 0, 0, 0, 0, -9
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/features/jobs/jobs-api-slice.ts.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/index.html", "HTML", 0, 0, 0, -14, 0, 0, 0, -1, -15
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/utils/index.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 14, 116
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/utils/test-utils.tsx.html", "HTML", 0, 0, 0, 149, 0, 0, 0, 14, 163
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/jest.setup.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, -1
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/components/NavMenuItems.test.tsx", "TypeScript React", 45, 0, 0, 0, 0, 0, 0, 11, 56
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/components/SortBySelect.test.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/components/User.test.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 9, 46
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/components/UserMenuItem.test.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 10, 42
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/pages/About.test.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/src/utils/test-utils.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/jobs-tracker-frontend/coverage/clover.xml", "XML", 0, 0, 0, 0, -2072, 0, 0, -1, -2073
