"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "CSS", "Markdown", "JSON", "JSON with Comments", "HTML", "Go Module File", "Go Checksum File", "Go", "XML", "TOML", "YAML", "comment", "blank", "total"
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 6, 41
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build/packaged-template.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 3, 124
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build/template.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 3, 124
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/CS673_Backend_Go.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/aws.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/README.md", "Markdown", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 131
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 1, 192
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 21, 59, 251
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 12, 52
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/main_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 14, 65
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 1, 192
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 23, 70, 313
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/template.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 4, 8, 115
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 1, 194
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 31, 38, 193
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/.prettierrc", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/Code_Overview.md", "Markdown", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 153
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/README.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48, 111
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/README_CRA.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 45
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/babel.config.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/clover.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3244, 0, 0, 0, 1, 3245
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/coverage-final.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/BasicModal.tsx.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 14, 208
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/Link.js.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 14, 169
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/hooks.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 14, 97
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/store.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 14, 163
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/base.css", "CSS", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 225
"/Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/block-navigation.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 88
