Date : 2022-06-14 01:25:21
Directory : /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2
Total : 202 files,  64934 codes, 514 comments, 2322 blanks, all 67770 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     34,260 |          0 |          7 |     34,267 |
| HTML               |        100 |     21,960 |         25 |      1,448 |     23,433 |
| XML                |          4 |      3,301 |          0 |          1 |      3,302 |
| TypeScript React   |         46 |      2,541 |        244 |        272 |      3,057 |
| Go                 |          5 |        603 |         78 |        193 |        874 |
| Go Checksum File   |          4 |        592 |          0 |          4 |        596 |
| CSS                |          5 |        369 |         12 |         40 |        421 |
| YAML               |          3 |        345 |          4 |         14 |        363 |
| JavaScript         |          5 |        311 |         25 |         51 |        387 |
| Markdown           |          6 |        300 |          1 |        194 |        495 |
| TypeScript         |         10 |        208 |        123 |         75 |        406 |
| Go Module File     |          4 |         70 |          0 |         15 |         85 |
| JSON with Comments |          2 |         40 |          1 |          2 |         43 |
| TOML               |          1 |         34 |          1 |          6 |         41 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                      |        202 |     64,934 |        514 |      2,322 |     67,770 |
| CS673_Backend_Go_Microservices                                                                                                                                                         |         21 |      1,790 |         83 |        274 |      2,147 |
| CS673_Backend_Go_Microservices/.aws-sam                                                                                                                                                |          3 |        276 |          1 |         12 |        289 |
| CS673_Backend_Go_Microservices/.aws-sam/build                                                                                                                                          |          2 |        242 |          0 |          6 |        248 |
| CS673_Backend_Go_Microservices/.idea                                                                                                                                                   |          3 |         57 |          0 |          0 |         57 |
| CS673_Backend_Go_Microservices/activityController                                                                                                                                      |          3 |        384 |         21 |         64 |        469 |
| CS673_Backend_Go_Microservices/hello-world                                                                                                                                             |          4 |        108 |          3 |         30 |        141 |
| CS673_Backend_Go_Microservices/jobController                                                                                                                                           |          3 |        433 |         23 |         75 |        531 |
| CS673_Backend_Go_Microservices/userController                                                                                                                                          |          3 |        340 |         31 |         43 |        414 |
| CS673_Frontend_TS_React                                                                                                                                                                |        178 |     63,032 |        431 |      2,024 |     65,487 |
| CS673_Frontend_TS_React/coverage                                                                                                                                                       |        106 |     25,654 |         34 |      1,494 |     27,182 |
| CS673_Frontend_TS_React/coverage/lcov-report                                                                                                                                           |        104 |     22,362 |         34 |      1,492 |     23,888 |
| CS673_Frontend_TS_React/coverage/lcov-report/app                                                                                                                                       |          3 |        348 |          0 |         43 |        391 |
| CS673_Frontend_TS_React/coverage/lcov-report/components                                                                                                                                |          8 |      2,195 |          0 |        117 |      2,312 |
| CS673_Frontend_TS_React/coverage/lcov-report/components/Activity_Components                                                                                                            |          2 |        857 |          0 |         28 |        885 |
| CS673_Frontend_TS_React/coverage/lcov-report/components/Job_Components                                                                                                                 |          2 |        649 |          0 |         32 |        681 |
| CS673_Frontend_TS_React/coverage/lcov-report/features                                                                                                                                  |         12 |      1,824 |          0 |        168 |      1,992 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/UI                                                                                                                               |          2 |        245 |          0 |         28 |        273 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/activities                                                                                                                       |          2 |        392 |          0 |         28 |        420 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/activity                                                                                                                         |          2 |        281 |          0 |         28 |        309 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/job                                                                                                                              |          2 |        290 |          0 |         28 |        318 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/jobs                                                                                                                             |          2 |        383 |          0 |         28 |        411 |
| CS673_Frontend_TS_React/coverage/lcov-report/features/user                                                                                                                             |          2 |        233 |          0 |         28 |        261 |
| CS673_Frontend_TS_React/coverage/lcov-report/src                                                                                                                                       |         69 |     15,003 |          0 |        999 |     16,002 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/app                                                                                                                                   |          3 |        348 |          0 |         43 |        391 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/components                                                                                                                            |         25 |      5,677 |          0 |        373 |      6,050 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/components/Activity_Components                                                                                                        |          4 |      1,639 |          0 |         58 |      1,697 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components                                                                                                             |          7 |      1,713 |          0 |        107 |      1,820 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/components/Landing_Page_Components                                                                                                    |          2 |        317 |          0 |         28 |        345 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/data                                                                                                                                  |          2 |      2,030 |          0 |         28 |      2,058 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features                                                                                                                              |         12 |      1,851 |          0 |        168 |      2,019 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/UI                                                                                                                           |          2 |        245 |          0 |         28 |        273 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/activities                                                                                                                   |          2 |        392 |          0 |         28 |        420 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/activity                                                                                                                     |          2 |        281 |          0 |         28 |        309 |
